Line,Date,Time,Activity,Marker,White Light,Sleep/Wake,Interval Status
1,9 04 2021,1:42:00 pm,199,0,128,NaN,ACTIVE
2,9 04 2021,1:42:30 pm,108,0,5.19,NaN,ACTIVE
3,9 04 2021,1:43:00 pm,310,0,5.91,NaN,ACTIVE
4,9 04 2021,1:43:30 pm,56,0,0.01,NaN,ACTIVE
5,9 04 2021,1:44:00 pm,262,0,2.18,1,ACTIVE
6,9 04 2021,1:44:30 pm,26,0,1.38,1,ACTIVE
7,9 04 2021,1:45:00 pm,49,0,2.71,1,ACTIVE
8,9 04 2021,1:45:30 pm,80,0,5.78,1,ACTIVE
9,9 04 2021,1:46:00 pm,193,0,5.66,1,ACTIVE
10,9 04 2021,1:46:30 pm,222,0,0.17,1,ACTIVE
11,9 04 2021,1:47:00 pm,52,0,0.01,1,ACTIVE
12,9 04 2021,1:47:30 pm,214,0,0.01,1,ACTIVE
13,9 04 2021,1:48:00 pm,403,0,0.3,1,ACTIVE
14,9 04 2021,1:48:30 pm,475,0,1.79,1,ACTIVE
15,9 04 2021,1:49:00 pm,299,0,3.02,1,ACTIVE
16,9 04 2021,1:49:30 pm,193,0,8.92,1,ACTIVE
17,9 04 2021,1:50:00 pm,214,0,6.04,1,ACTIVE
18,9 04 2021,1:50:30 pm,214,0,3.22,1,ACTIVE
19,9 04 2021,1:51:00 pm,365,0,8.18,1,ACTIVE
20,9 04 2021,1:51:30 pm,207,0,4.56,1,ACTIVE
21,9 04 2021,1:52:00 pm,460,0,7.03,1,ACTIVE
22,9 04 2021,1:52:30 pm,390,0,3.22,1,ACTIVE
23,9 04 2021,1:53:00 pm,180,0,68.3,1,ACTIVE
24,9 04 2021,1:53:30 pm,71,0,32,1,ACTIVE
25,9 04 2021,1:54:00 pm,11,0,3.36,1,ACTIVE
26,9 04 2021,1:54:30 pm,3,0,4.18,1,ACTIVE
27,9 04 2021,1:55:00 pm,12,0,4.97,1,ACTIVE
28,9 04 2021,1:55:30 pm,0,0,4.86,0,ACTIVE
29,9 04 2021,1:56:00 pm,31,0,4.09,1,ACTIVE
30,9 04 2021,1:56:30 pm,6,0,1.48,0,ACTIVE
31,9 04 2021,1:57:00 pm,6,0,1.92,0,ACTIVE
32,9 04 2021,1:57:30 pm,3,0,112.4,0,ACTIVE
33,9 04 2021,1:58:00 pm,3,0,11.81,0,ACTIVE
34,9 04 2021,1:58:30 pm,35,0,6.73,1,ACTIVE
35,9 04 2021,1:59:00 pm,0,0,3.22,0,ACTIVE
36,9 04 2021,1:59:30 pm,2,0,12.88,0,ACTIVE
37,9 04 2021,2:00:00 pm,45,0,23.12,1,ACTIVE
38,9 04 2021,2:00:30 pm,46,0,15.32,1,ACTIVE
39,9 04 2021,2:01:00 pm,5,0,22.63,0,ACTIVE
40,9 04 2021,2:01:30 pm,3,0,20.75,0,ACTIVE
41,9 04 2021,2:02:00 pm,2,0,16.35,0,ACTIVE
42,9 04 2021,2:02:30 pm,22,0,14.05,1,ACTIVE
43,9 04 2021,2:03:00 pm,29,0,11.31,1,ACTIVE
44,9 04 2021,2:03:30 pm,3,0,40.61,0,ACTIVE
45,9 04 2021,2:04:00 pm,2,0,46.25,0,ACTIVE
46,9 04 2021,2:04:30 pm,6,0,31.31,0,ACTIVE
47,9 04 2021,2:05:00 pm,2,0,27.5,0,ACTIVE
48,9 04 2021,2:05:30 pm,2,0,25.77,0,ACTIVE
49,9 04 2021,2:06:00 pm,25,0,24.68,1,ACTIVE
50,9 04 2021,2:06:30 pm,19,0,23.12,1,ACTIVE
51,9 04 2021,2:07:00 pm,0,0,23.12,0,ACTIVE
52,9 04 2021,2:07:30 pm,2,0,17.45,0,ACTIVE
53,9 04 2021,2:08:00 pm,9,0,9.72,0,ACTIVE
54,9 04 2021,2:08:30 pm,0,0,4.65,0,ACTIVE
55,9 04 2021,2:09:00 pm,28,0,7.34,1,ACTIVE
56,9 04 2021,2:09:30 pm,56,0,24.68,1,ACTIVE
57,9 04 2021,2:10:00 pm,37,0,17.07,1,ACTIVE
58,9 04 2021,2:10:30 pm,20,0,22.14,1,ACTIVE
59,9 04 2021,2:11:00 pm,77,0,29.99,1,ACTIVE
60,9 04 2021,2:11:30 pm,113,0,14.05,1,ACTIVE
61,9 04 2021,2:12:00 pm,145,0,18.62,1,ACTIVE
62,9 04 2021,2:12:30 pm,140,0,21.2,1,ACTIVE
63,9 04 2021,2:13:00 pm,136,0,20.3,1,ACTIVE
64,9 04 2021,2:13:30 pm,77,0,30.64,1,ACTIVE
65,9 04 2021,2:14:00 pm,310,0,2.83,1,ACTIVE
66,9 04 2021,2:14:30 pm,25,0,1.58,1,ACTIVE
67,9 04 2021,2:15:00 pm,222,0,1.51,1,ACTIVE
68,9 04 2021,2:15:30 pm,214,0,0.79,1,ACTIVE
69,9 04 2021,2:16:00 pm,444,0,0.53,1,ACTIVE
70,9 04 2021,2:16:30 pm,403,0,0.04,1,ACTIVE
71,9 04 2021,2:17:00 pm,378,0,0.01,1,ACTIVE
72,9 04 2021,2:17:30 pm,187,0,0.01,1,ACTIVE
73,9 04 2021,2:18:00 pm,237,0,0.01,1,ACTIVE
74,9 04 2021,2:18:30 pm,444,0,0.01,1,ACTIVE
75,9 04 2021,2:19:00 pm,506,0,0.01,1,ACTIVE
76,9 04 2021,2:19:30 pm,444,0,0.01,1,ACTIVE
77,9 04 2021,2:20:00 pm,557,0,0.01,1,ACTIVE
78,9 04 2021,2:20:30 pm,430,0,3.83,1,ACTIVE
79,9 04 2021,2:21:00 pm,207,0,0.71,1,ACTIVE
80,9 04 2021,2:21:30 pm,253,0,1.87,1,ACTIVE
81,9 04 2021,2:22:00 pm,117,0,3.29,1,ACTIVE
82,9 04 2021,2:22:30 pm,353,0,2.71,1,ACTIVE
83,9 04 2021,2:23:00 pm,245,0,169.63,1,ACTIVE
84,9 04 2021,2:23:30 pm,299,0,1722.16,1,ACTIVE
85,9 04 2021,2:24:00 pm,353,0,9533.23,1,ACTIVE
86,9 04 2021,2:24:30 pm,62,0,4096,1,ACTIVE
87,9 04 2021,2:25:00 pm,103,0,1722.16,1,ACTIVE
88,9 04 2021,2:25:30 pm,131,0,678.52,1,ACTIVE
89,9 04 2021,2:26:00 pm,59,0,16384,1,ACTIVE
90,9 04 2021,2:26:30 pm,49,0,18258.11,1,ACTIVE
91,9 04 2021,2:27:00 pm,29,0,3370.51,1,ACTIVE
92,9 04 2021,2:27:30 pm,37,0,21247.42,1,ACTIVE
93,9 04 2021,2:28:00 pm,28,0,23677.84,1,ACTIVE
94,9 04 2021,2:28:30 pm,19,0,23677.84,1,ACTIVE
95,9 04 2021,2:29:00 pm,17,0,25267.58,1,ACTIVE
96,9 04 2021,2:29:30 pm,96,0,7039.47,1,ACTIVE
97,9 04 2021,2:30:00 pm,37,0,4766.62,1,ACTIVE
98,9 04 2021,2:30:30 pm,59,0,8371.38,1,ACTIVE
99,9 04 2021,2:31:00 pm,131,0,10623.71,1,ACTIVE
100,9 04 2021,2:31:30 pm,68,0,12363.08,1,ACTIVE
101,9 04 2021,2:32:00 pm,2,0,5198.03,1,ACTIVE
102,9 04 2021,2:32:30 pm,0,0,5198.03,1,ACTIVE
103,9 04 2021,2:33:00 pm,49,0,2332.24,1,ACTIVE
104,9 04 2021,2:33:30 pm,56,0,899.2,1,ACTIVE
105,9 04 2021,2:34:00 pm,74,0,5311.86,1,ACTIVE
106,9 04 2021,2:34:30 pm,71,0,15024.19,1,ACTIVE
107,9 04 2021,2:35:00 pm,48,0,8016.46,1,ACTIVE
108,9 04 2021,2:35:30 pm,122,0,7844.69,1,ACTIVE
109,9 04 2021,2:36:00 pm,77,0,1579.22,1,ACTIVE
110,9 04 2021,2:36:30 pm,56,0,1386.76,1,ACTIVE
111,9 04 2021,2:37:00 pm,117,0,1649.14,1,ACTIVE
112,9 04 2021,2:37:30 pm,207,0,25267.58,1,ACTIVE
113,9 04 2021,2:38:00 pm,40,0,37315.82,1,ACTIVE
114,9 04 2021,2:38:30 pm,162,0,162.44,1,ACTIVE
115,9 04 2021,2:39:00 pm,65,0,24.15,1,ACTIVE
116,9 04 2021,2:39:30 pm,108,0,479.79,1,ACTIVE
117,9 04 2021,2:40:00 pm,39,0,918.89,1,ACTIVE
118,9 04 2021,2:40:30 pm,28,0,3024.54,1,ACTIVE
119,9 04 2021,2:41:00 pm,136,0,4977.65,1,ACTIVE
120,9 04 2021,2:41:30 pm,207,0,14702.26,1,ACTIVE
121,9 04 2021,2:42:00 pm,80,0,9129.06,1,ACTIVE
122,9 04 2021,2:42:30 pm,52,0,1271.66,1,ACTIVE
123,9 04 2021,2:43:00 pm,59,0,1685.25,1,ACTIVE
124,9 04 2021,2:43:30 pm,131,0,1798.4,1,ACTIVE
125,9 04 2021,2:44:00 pm,45,0,1579.22,1,ACTIVE
126,9 04 2021,2:44:30 pm,103,0,18657.91,1,ACTIVE
127,9 04 2021,2:45:00 pm,168,0,980.59,1,ACTIVE
128,9 04 2021,2:45:30 pm,113,0,1579.22,1,ACTIVE
129,9 04 2021,2:46:00 pm,103,0,2092.85,1,ACTIVE
130,9 04 2021,2:46:30 pm,12,0,3090.77,1,ACTIVE
131,9 04 2021,2:47:00 pm,11,0,789.61,1,ACTIVE
132,9 04 2021,2:47:30 pm,0,0,789.61,1,ACTIVE
133,9 04 2021,2:48:00 pm,108,0,1244.41,1,ACTIVE
134,9 04 2021,2:48:30 pm,168,0,1722.16,1,ACTIVE
135,9 04 2021,2:49:00 pm,199,0,6596.57,1,ACTIVE
136,9 04 2021,2:49:30 pm,2,0,4766.62,1,ACTIVE
137,9 04 2021,2:50:00 pm,103,0,4185.69,1,ACTIVE
138,9 04 2021,2:50:30 pm,187,0,369.97,1,ACTIVE
139,9 04 2021,2:51:00 pm,214,0,256,1,ACTIVE
140,9 04 2021,2:51:30 pm,83,0,2048,1,ACTIVE
141,9 04 2021,2:52:00 pm,145,0,5919.46,1,ACTIVE
142,9 04 2021,2:52:30 pm,180,0,789.61,1,ACTIVE
143,9 04 2021,2:53:00 pm,271,0,1512.27,1,ACTIVE
144,9 04 2021,2:53:30 pm,80,0,3298.28,1,ACTIVE
145,9 04 2021,2:54:00 pm,2,0,4277.35,1,ACTIVE
146,9 04 2021,2:54:30 pm,3,0,3838.3,1,ACTIVE
147,9 04 2021,2:55:00 pm,35,0,3838.3,1,ACTIVE
148,9 04 2021,2:55:30 pm,0,0,6049.08,0,ACTIVE
149,9 04 2021,2:56:00 pm,0,0,6596.57,1,ACTIVE
150,9 04 2021,2:56:30 pm,43,0,7193.61,1,ACTIVE
151,9 04 2021,2:57:00 pm,108,0,2004.12,1,ACTIVE
152,9 04 2021,2:57:30 pm,17,0,403.45,1,ACTIVE
153,9 04 2021,2:58:00 pm,103,0,3158.45,1,ACTIVE
154,9 04 2021,2:58:30 pm,20,0,4185.69,1,ACTIVE
155,9 04 2021,2:59:00 pm,93,0,3838.3,1,ACTIVE
156,9 04 2021,2:59:30 pm,180,0,3370.51,1,ACTIVE
157,9 04 2021,3:00:00 pm,290,0,5668.5,1,ACTIVE
158,9 04 2021,3:00:30 pm,271,0,3838.3,1,ACTIVE
159,9 04 2021,3:01:00 pm,634,0,3158.45,1,ACTIVE
160,9 04 2021,3:01:30 pm,342,0,11.56,1,ACTIVE
161,9 04 2021,3:02:00 pm,390,0,9.93,1,ACTIVE
162,9 04 2021,3:02:30 pm,321,0,0.22,1,ACTIVE
163,9 04 2021,3:03:00 pm,62,0,0.01,1,ACTIVE
164,9 04 2021,3:03:30 pm,89,0,0.01,1,ACTIVE
165,9 04 2021,3:04:00 pm,253,0,0.01,1,ACTIVE
166,9 04 2021,3:04:30 pm,136,0,0.01,1,ACTIVE
167,9 04 2021,3:05:00 pm,271,0,0.01,1,ACTIVE
168,9 04 2021,3:05:30 pm,93,0,0.01,1,ACTIVE
169,9 04 2021,3:06:00 pm,162,0,0.01,1,ACTIVE
170,9 04 2021,3:06:30 pm,193,0,0.01,1,ACTIVE
171,9 04 2021,3:07:00 pm,156,0,0.01,1,ACTIVE
172,9 04 2021,3:07:30 pm,89,0,0.15,1,ACTIVE
173,9 04 2021,3:08:00 pm,3,0,0.17,1,ACTIVE
174,9 04 2021,3:08:30 pm,113,0,0.13,1,ACTIVE
175,9 04 2021,3:09:00 pm,34,0,0.01,1,ACTIVE
176,9 04 2021,3:09:30 pm,48,0,0.01,1,ACTIVE
177,9 04 2021,3:10:00 pm,281,0,0.01,1,ACTIVE
178,9 04 2021,3:10:30 pm,77,0,0.01,1,ACTIVE
179,9 04 2021,3:11:00 pm,52,0,0.01,1,ACTIVE
180,9 04 2021,3:11:30 pm,214,0,0.01,1,ACTIVE
181,9 04 2021,3:12:00 pm,230,0,0.01,1,ACTIVE
182,9 04 2021,3:12:30 pm,145,0,0.01,1,ACTIVE
183,9 04 2021,3:13:00 pm,96,0,0.01,1,ACTIVE
184,9 04 2021,3:13:30 pm,99,0,0.01,1,ACTIVE
185,9 04 2021,3:14:00 pm,199,0,0.01,1,ACTIVE
186,9 04 2021,3:14:30 pm,245,0,0.01,1,ACTIVE
187,9 04 2021,3:15:00 pm,122,0,0.02,1,ACTIVE
188,9 04 2021,3:15:30 pm,262,0,0.01,1,ACTIVE
